457616,4470597,0,4,0,3,5,5,0,0,0,0,4,0,5,5,0,5,0,0,3,0,0,4,4,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,3,0,4,0,0,0,0,0,0,3,5,0,0,0,0,0,2,3,2,4,4,3,5,5,5,1,2,2,2,1,3,1,0,0,0,3,4,5,4,2
796698,4470598,5,5,2,3,5,3,4,5,3,5,5,5,4,4,4,2,5,3,5,5,3,4,4,4,4,2,4,3,3,3,3,4,4,5,3,3,4,5,5,5,5,5,5,5,5,3,5,5,4,4,5,4,3,4,5,5,5,4,2,3,2,4,0,5,4,2,3,3,3,2,2,5,4,2,0,4,0,5,3,0,3
396390,4470653,5,4,5,1,4,5,3,4,2,3,2,5,5,5,1,3,2,5,1,5,2,2,3,3,5,1,2,3,3,5,5,5,3,1,1,3,3,3,4,1,5,3,1,4,3,3,1,2,4,1,3,3,1,4,4,2,1,4,4,2,0,5,3,0,2,4,0,1,0,3,0,3,0,0,0,5,0,0,5,0,5
304243,4470653,3,2,3,2,0,4,2,5,5,4,3,0,3,4,4,2,2,3,3,3,5,0,4,0,3,4,0,3,4,3,4,5,0,3,5,5,3,4,3,3,3,4,2,3,2,3,2,3,0,3,3,1,3,0,3,0,3,4,4,4,0,5,4,0,2,4,2,0,0,1,0,3,1,0,0,3,0,0,5,0,4
397232,4470653,4,3,2,1,5,5,3,4,5,5,4,3,4,5,3,5,3,3,4,5,5,4,4,5,0,1,5,0,3,4,3,2,3,3,0,1,5,3,4,4,5,5,5,4,4,5,5,0,2,4,4,3,2,3,0,3,0,4,3,2,0,3,4,0,1,4,0,0,0,0,4,1,0,0,0,0,0,0,5,4,1
158695,4470653,5,3,0,0,3,5,0,3,5,0,0,3,5,5,4,3,3,4,0,0,3,0,4,5,5,0,0,0,4,4,0,3,0,5,0,2,2,4,0,3,0,0,4,0,4,4,4,2,0,0,0,3,0,0,0,0,0,0,4,4,0,0,0,0,2,4,4,0,4,5,0,3,0,0,0,5,0,0,0,4,1
451901,4470654,5,0,0,3,1,0,1,4,3,0,0,1,0,0,1,0,1,4,0,0,1,0,1,0,0,0,1,0,3,4,5,5,5,0,1,0,4,0,4,0,1,1,0,1,0,0,1,3,4,5,5,4,0,0,0,1,0,4,4,5,0,3,0,4,3,5,0,0,4,5,0,3,0,0,0,3,0,4,4,5,0
224105,4470654,0,0,0,0,0,0,0,4,4,3,3,2,4,3,0,0,0,0,5,0,0,3,0,0,0,0,0,0,2,0,0,3,4,0,0,4,2,3,0,0,0,2,3,0,2,0,3,0,0,0,0,3,2,2,0,0,0,0,5,5,0,0,4,0,4,4,0,0,0,5,0,1,5,5,0,0,0,5,3,4,1
892997,4470654,1,2,1,1,2,1,1,1,1,3,2,1,2,2,5,3,1,1,2,3,1,1,5,1,3,1,1,1,1,3,3,1,2,2,1,1,1,1,4,1,1,1,2,1,2,2,2,1,3,2,2,1,2,1,2,1,4,4,3,4,0,0,1,0,4,5,0,0,0,1,0,1,2,0,0,0,2,0,5,4,3
774111,4470654,0,0,1,0,5,0,2,0,0,0,1,0,0,2,3,3,0,2,0,0,2,0,0,4,0,0,0,0,0,0,1,0,1,2,0,2,0,0,4,5,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,3,0,1,4,4,4,5,0,1,5,0,0,1,5,3,0,0,0,1,5,4,1
883791,4470655,3,0,0,0,0,4,4,0,0,0,4,0,0,0,0,4,0,0,4,0,2,0,3,0,0,2,0,1,0,0,0,4,0,0,0,4,3,5,0,0,0,0,0,3,0,0,4,4,3,4,5,5,0,0,0,0,0,3,4,5,0,5,0,5,3,5,2,0,0,5,0,1,5,5,0,3,0,0,0,0,4
